0,1
2133.03(e)(1),"Akron Brass Co. v. Elkhart Brass Mfg. Co., Inc., 353 F.2d 704, 147 USPQ 301 (7th Cir. 1965)"
2757,"Aktiebolaget Astra v. Lehman, 71 F.3d 1578, 37 USPQ2d 1212 (Fed. Cir. 1995)"
2131.02,"Akzo N.V. v. International Trade Comm’n, 808 F.2d 1471, 1 USPQ2d 1241 (Fed. Cir. 1986)"
2181,"Alappat, In re, 33 F.3d 1526, 31 USPQ2d 1545 (Fed. Cir. 1994)"
2106,"Alappat, In re, 33 F.3d 1526, 31 USPQ2d 1545 (Fed. Cir. 1994)"
2116.01,"Albertson, In re, 332 F.2d 379, 141 USPQ 730 (CCPA 1964)"
2145,"Albrecht, In re, 514 F.2d 1389, 185 USPQ 585 (CCPA 1975)"
2144.09,"Albrecht, In re, 514 F.2d 1389, 185 USPQ 585 (CCPA 1975)"
2144.08,"Albrecht, In re, 514 F.2d 1389, 185 USPQ 585 (CCPA 1975)"
2755.01,"Alcon Laboratories Inc., In re, 13 USPQ2d 1115 (Comm’r Pat. & Tm. 1989)"
2751,"Alcon Laboratories Inc., In re, 13 USPQ2d 1115 (Comm’r Pat. & Tm. 1989)"
2106.07(b),"Alice Corp. Pty. Ltd. v. CLS Bank Intl, 573 U.S. _, 134 S. Ct. 2347, 110 USPQ2d 1976 (2014)"
2106.07(a),"Alice Corp. Pty. Ltd. v. CLS Bank Intl, 573 U.S. _, 134 S. Ct. 2347, 110 USPQ2d 1976 (2014)"
2106.06,"Alice Corp. Pty. Ltd. v. CLS Bank Intl, 573 U.S. _, 134 S. Ct. 2347, 110 USPQ2d 1976 (2014)"
2106.05(f),"Alice Corp. Pty. Ltd. v. CLS Bank Intl, 573 U.S. _, 134 S. Ct. 2347, 110 USPQ2d 1976 (2014)"
2106.05(e),"Alice Corp. Pty. Ltd. v. CLS Bank Intl, 573 U.S. _, 134 S. Ct. 2347, 110 USPQ2d 1976 (2014)"
2106.05(d),"Alice Corp. Pty. Ltd. v. CLS Bank Intl, 573 U.S. _, 134 S. Ct. 2347, 110 USPQ2d 1976 (2014)"
2106.05(b),"Alice Corp. Pty. Ltd. v. CLS Bank Intl, 573 U.S. _, 134 S. Ct. 2347, 110 USPQ2d 1976 (2014)"
2106.05(a),"Alice Corp. Pty. Ltd. v. CLS Bank Intl, 573 U.S. _, 134 S. Ct. 2347, 110 USPQ2d 1976 (2014)"
2106.05,"Alice Corp. Pty. Ltd. v. CLS Bank Intl, 573 U.S. _, 134 S. Ct. 2347, 110 USPQ2d 1976 (2014)"
2106.04(a)(2),"Alice Corp. Pty. Ltd. v. CLS Bank Intl, 573 U.S. _, 134 S. Ct. 2347, 110 USPQ2d 1976 (2014)"
2106.04(a)(1),"Alice Corp. Pty. Ltd. v. CLS Bank Intl, 573 U.S. _, 134 S. Ct. 2347, 110 USPQ2d 1976 (2014)"
2106.04(a),"Alice Corp. Pty. Ltd. v. CLS Bank Intl, 573 U.S. _, 134 S. Ct. 2347, 110 USPQ2d 1976 (2014)"
2106.04,"Alice Corp. Pty. Ltd. v. CLS Bank Intl, 573 U.S. _, 134 S. Ct. 2347, 110 USPQ2d 1976 (2014)"
2106,"Alice Corp. Pty. Ltd. v. CLS Bank Intl, 573 U.S. _, 134 S. Ct. 2347, 110 USPQ2d 1976 (2014)"
2103,"Alice Corp. Pty. Ltd. v. CLS Bank Intl, 573 U.S. _, 134 S. Ct. 2347, 110 USPQ2d 1976 (2014)"
2105,"Allen, Ex parte, 2 USPQ2d 1425 (Bd. Pat. App. & Inter. 1987)"
2133.03(e)(4),"Allen Eng’g Corp. v. Bartell Indus., Inc., 299 F.3d 1336, 63 USPQ2d 1769 (Fed. Cir. 2002)"
2133.03(e),"Allen Eng’g Corp. v. Bartell Indus., Inc., 299 F.3d 1336, 63 USPQ2d 1769 (Fed. Cir. 2002)"
2756,"Allen & Hansbury Ltd., 227 USPQ 955 (Comm’r Pat. & Tm. 1985)"
