0,1
2138.04,"Amgen, Inc. v. Chugai Pharmaceutical Co., 927 F.2d 1200, 18 USPQ2d 1016 (Fed. Cir. 1991)"
2138,"Amgen, Inc. v. Chugai Pharmaceutical Co., 927 F.2d 1200, 18 USPQ2d 1016 (Fed. Cir. 1991)"
706.04,"Amgen, Inc. v. Hoechst Marion Roussel, Inc., 126 F. Supp. 2d 69, 57 USPQ2d 1449 (D. Mass. 2001)"
706.04,"Amgen, Inc. v. Hoechst Marion Roussel, Inc., 126 F. Supp. 2d 69, 57 USPQ2d 1449 (D. Mass. 2001)"
2113,"Amgen Inc. v. F. Hoffman-La Roche Ltd., 580 F.3d 1340, 92 USPQ2d 1289 (Fed. Cir. 2009)"
1481.03,"Amgen Inc. v. F. Hoffman-La Roche Ltd., 580 F.3d 1340, 92 USPQ2d 1289 (Fed. Cir. 2009)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1504.02,"Amini Innovation Corp. v. Anthony California Inc., 439 F.3d 1365, 78 USPQ2d 1147 (Fed. Cir. 2006)"
1412.01,"Amos, In re, 953 F.2d 613, 21 USPQ2d 1271 (Fed. Cir. 1991)"
2625,"Amp, In re, 212 USPQ 826 (Comm’r Pat. 1981)"
2225,"Amp, In re, 212 USPQ 826 (Comm’r Pat. 1981)"
2133.03(e)(1),"Amphenol Corp. v. Gen’l Time Corp., 397 F.2d 431, 158 USPQ 113 (7th Cir. 1968)"
1504.06,"Anchor Hocking Corp. v. Eyelet Specialty Co., 377 F. Supp 98, 183 USPQ 87 (D. Del. 1974)"
1504.06,"Anchor Hocking Corp. v. Eyelet Specialty Co., 377 F. Supp 98, 183 USPQ 87 (D. Del. 1974)"
1504.06,"Anchor Hocking Corp. v. Eyelet Specialty Co., 377 F. Supp 98, 183 USPQ 87 (D. Del. 1974)"
1504.06,"Anchor Hocking Corp. v. Eyelet Specialty Co., 377 F. Supp 98, 183 USPQ 87 (D. Del. 1974)"
1504.06,"Anchor Hocking Corp. v. Eyelet Specialty Co., 377 F. Supp 98, 183 USPQ 87 (D. Del. 1974)"
1504.06,"Anchor Hocking Corp. v. Eyelet Specialty Co., 377 F. Supp 98, 183 USPQ 87 (D. Del. 1974)"
1504.06,"Anchor Hocking Corp. v. Eyelet Specialty Co., 377 F. Supp 98, 183 USPQ 87 (D. Del. 1974)"
1504.06,"Anchor Hocking Corp. v. Eyelet Specialty Co., 377 F. Supp 98, 183 USPQ 87 (D. Del. 1974)"
1504.06,"Anchor Hocking Corp. v. Eyelet Specialty Co., 377 F. Supp 98, 183 USPQ 87 (D. Del. 1974)"
1504.06,"Anchor Hocking Corp. v. Eyelet Specialty Co., 377 F. Supp 98, 183 USPQ 87 (D. Del. 1974)"
1504.06,"Anchor Hocking Corp. v. Eyelet Specialty Co., 377 F. Supp 98, 183 USPQ 87 (D. Del. 1974)"
1504.06,"Anchor Hocking Corp. v. Eyelet Specialty Co., 377 F. Supp 98, 183 USPQ 87 (D. Del. 1974)"
1504.06,"Anchor Hocking Corp. v. Eyelet Specialty Co., 377 F. Supp 98, 183 USPQ 87 (D. Del. 1974)"
2173.05(b),"Anderson, Ex parte, 21 USPQ2d 1241 (Bd. Pat. App. & Inter. 1991)"
2181,"Anderson, In re, 471 F.2d 1237, 176 USPQ 331 (CCPA 1973)"
2163.07,"Anderson, In re, 471 F.2d 1237, 176 USPQ 331 (CCPA 1973)"
2173.03,"Anderson, In re, 1997 U.S. App. Lexis 167 (Fed. Cir. January 6, 1997)"
2143.02,"Anderson’s-Black Rock, Inc. v. Pavement Salvage Co., 396 U.S. 57, 163 USPQ 673 (1969)"
2143.01,"Anderson’s-Black Rock, Inc. v. Pavement Salvage Co., 396 U.S. 57, 163 USPQ 673 (1969)"
2143,"Anderson’s-Black Rock, Inc. v. Pavement Salvage Co., 396 U.S. 57, 163 USPQ 673 (1969)"
2141,"Anderson’s-Black Rock, Inc. v. Pavement Salvage Co., 396 U.S. 57, 163 USPQ 673 (1969)"
716.01(a),"Anderson’s-Black Rock, Inc. v. Pavement Salvage Co., 396 U.S. 57, 163 USPQ 673 (1969)"
2138.06,"Anderson v. Crowther, 152 USPQ 504 (Bd. Pat. Inter. 1965)"
2141.01,"Andresen, Ex parte, 212 USPQ 100 (Bd. Pat. App. & Inter. 1981)"
2137,"Andresen, Ex parte, 212 USPQ 100 (Bd. Pat. App. & Inter. 1981)"
2004,"Andresen, Ex parte, 212 USPQ 100 (Bd. Pat. App. & Inter. 1981)"
