Topic,Subtopic1,Subtopic2,Subtopic3,Subtopic4,SeeAlso,MPEPLink
Kind Codes,,,,,,901.04(a); 
Kinds of patent documents,,,,,,1851; 
Korean Intellectual Property Office KIPO,,,,,,1840; 1840.02; 1860; 1865; 
