c1,c2,c3
MPEP Sections,-,11639
-,MPEPS_USCS,227
-,MPEPS_CFRS,40
-,MPEPS_CaseAction,7536
-,-,-
35 USC Sections,-,732
-,-,-
37 CFR Sections,-,974
-,-,-
Case Actions,-,1886
-,-,-
Patent Bar Test Questions,-,1224
-,PBTQ_MPEPS,1324
-,PBTQ_USCS,913
-,PBTQ_CFRS,430
-,PBTQ_CaseAction,4
-,-,-
