c1,c2,c3
MPEP Sections,-,11639
-,MPEPS_USCS,227
-,MPEPS_CFRS,40
-,MPEPS_CaseAction,7536
-,-,-
35 USC Sections,-,732
-,-,-
37 CFR Sections,-,974
-,-,-
Case Actions,-,1975
-,-,-
Patent Bar Test Questions,-,612
-,PBTQ_MPEPS,662
-,PBTQ_USCS,295
-,PBTQ_CFRS,215
-,PBTQ_CaseAction,102
-,-,-
