Part,Chapter,Section,Paragraph,Update Status,Title,Links to MPEP,Links to 35USC,Links to 37CFR,Links to Cases and Actions
MPEP,1700,1701,,,"Office Personnel Not To Express Opinion on Validity, Patentability, or Enforceability of Patent [R-07.2015]",,,,
MPEP,1700,1701.01,,,Office Personnel Not To Testify [R-08.2012],,,,
MPEP,1700,1702,,,Restrictions on Current and Former Office Employees Regarding Patent Matters [R-07.2015],,,,
MPEP,1700,,p1,,,,,,
MPEP,1700,1703,,,The Official Gazette [R-07.2015],,,,
MPEP,1700,1704,,,Application Records and Reports [R-07.2015],,,,
MPEP,1700,1704(I),,,DOCKET REPORTS,,,,
MPEP,1700,1704(I),p1,,,,,,
MPEP,1700,1704(II),,,BIWEEKLY TIME AND ACTIVITY REPORTS,,,,
MPEP,1700,1704(II),p1,,,,,,
MPEP,1700,1705,,,"Examiner Docket, Time, and Activity Recordation [R-07.2015]",,,,
MPEP,1700,1705(I),,,COUNTING OF FIRST ACTION ON THE MERITS (FAOM),,,,
MPEP,1700,1705(I),p1,,,,,,
MPEP,1700,1705(I),p2,,,,,,
MPEP,1700,1705(I),p3,,,,,,
MPEP,1700,1705(II),,,COUNTING OF DISPOSALS,,,,
MPEP,1700,1705(II),p1,,,,,,
MPEP,1700,1705(III),,,CORRECTION INFORMATION,,,,
MPEP,1700,1706-1719,,,[Reserved],,,,
MPEP,1700,1720,,,Dissemination of Court and Patent Trial and Appeal Board Decisions [R-07.2015],,,,
MPEP,1700,1720(I),,,COURT DECISIONS,,,,
MPEP,1700,1720(I),p1,,,,,,
MPEP,1700,1720(I),p2,,,,,,
MPEP,1700,1720(II),,,PATENT TRIAL AND APPEAL BOARD DECISIONS,,,,
MPEP,1700,1720(II),p1,,,,,,
MPEP,1700,1721,,,Treatment of Court and Patent Trial and Appeal Board Decisions Affecting Patent and Trademark Office Policy and Practice [R-07.2015],,,,
MPEP,1700,1722-1729,,,[Reserved],,,,
MPEP,1700,1730,,,Information Sources [R-07.2015],,,,
MPEP,1700,1730(I),,,IN GENERAL,,,,
MPEP,1700,1730(I),p1,,,,,,
MPEP,1700,1730(I),p2,,,,,,
MPEP,1700,1730(I),p3,,,,,,
MPEP,1700,1730(I),p4,,,,,,
MPEP,1700,1730(I),p5,,,,,,
MPEP,1700,1730(I),p6,,,,,,
MPEP,1700,1730(II),,,USPTO INTERNET SITE,,,,
MPEP,1700,1730(II)(A),,,General Information,,,,
MPEP,1700,1730(II)(A),p1,,,,,,
MPEP,1700,1730(II)(B),,,Electronic Business,,,,
MPEP,1700,1730(II)(B),p1,,,,,,
MPEP,1700,1730(II)(B)(1),,,USPTO Databases,,,,
MPEP,1700,1730(II)(B)(1)(a),,,Issued Patents,,,,
MPEP,1700,1730(II)(B)(1)(a),p1,,,,,,
MPEP,1700,1730(II)(B)(1)(b),,,Published Applications,,,,
MPEP,1700,1730(II)(B)(1)(b),p1,,,,,,
MPEP,1700,1730(II)(B)(1)(c),,,Status Information,,,,
MPEP,1700,1730(II)(B)(1)(c),p1,,,,,,
MPEP,1700,1730(II)(B)(1)(d),,,Image File Wrapper (IFW),,,,
MPEP,1700,1730(II)(B)(1)(d),p1,,,,,,
MPEP,1700,1730(II)(B)(1)(d),p2,,,,,,
MPEP,1700,1730(II)(B)(1)(d),p3,,,,,,
MPEP,1700,1730(II)(B)(1)(e),,,Assignments on the Web (AOTW),,,,
MPEP,1700,1730(II)(B)(1)(e),p1,,,,,,
MPEP,1700,1730(II)(B)(1)(e),p2,,,,,,
MPEP,1700,1730(II)(B)(1)(f),,,Global Patent Search Network,,,,
MPEP,1700,1730(II)(B)(1)(f),p1,,,,,,
MPEP,1700,1730(II)(B)(2),,,Transacting Electronic Business,,,,
MPEP,1700,1730(II)(B)(2)(a),,,Filing Applications and Other Documents,,,,
MPEP,1700,1730(II)(B)(2)(a),p1,,,,,,
MPEP,1700,1730(II)(B)(2)(b),,,Paying Fees and Replenishing Deposit Accounts,,,,
MPEP,1700,1730(II)(B)(2)(b),p1,,,,,,
MPEP,1700,1730(II)(B)(2)(c),,,Ordering Copies and Publications,,,,
MPEP,1700,1730(II)(B)(2)(c),p1,,,,,,
MPEP,1700,1730(III),,,PCT,,,,
MPEP,1700,1730(III),p1,,,,,,
MPEP,1700,1730(IV),,,USPTO SEARCH AND INFORMATION RESOURCE FACILITIES,,,,
MPEP,1700,1730(IV),p1,,,,,,
MPEP,1700,1730(V),,,REGISTERED PRACTITIONERS,,,,
MPEP,1700,1730(V),p1,,,,,,
MPEP,1700,1730(V),p2,,,,,,
MPEP,1700,1730(VI),,,MISCELLANEOUS,,,,
MPEP,1700,1730(VI)(A),,,Recently Filed Applications,,,,
MPEP,1700,1730(VI)(A),p1,,,,,,
MPEP,1700,1730(VI)(B),,,Pre-Grant Publication,,,,
MPEP,1700,1730(VI)(B),p1,,,,,,
MPEP,1700,1730(VI)(C),,,Status Information,,,,
MPEP,1700,1730(VI)(C),p1,,,,,,
MPEP,1700,1730(VI)(D),,,Correspondence,,,,
MPEP,1700,1730(VI)(D),p1,,,,,,
MPEP,1700,1730(VI)(E),,,Copies of Documents,,,,
MPEP,1700,1730(VI)(E),p1,,,,,,
MPEP,1700,1730(VI)(F),,,Maintenance Fees,,,,
MPEP,1700,1730(VI)(F),p1,,,,,,
MPEP,1700,1730(VI)(G),,,Assignments,,,,
MPEP,1700,1730(VI)(G),p1,,,,,,
MPEP,1700,1730(VI)(H),,,Petitions,,,,
MPEP,1700,1730(VI)(H),p1,,,,,,
MPEP,1700,1730(VI)(H),p2,,,,,,
MPEP,1700,1730(I),,,PatentIn,,,,
MPEP,1700,1730(I),p1,,,,,,
